,Ti,Ni,Cu,Fe,Pd,Co,Mn,Cr,Nb,Zr,Hf,enthalpy
88,50.0,43.9,2.0,4.0,0.1,0.0,0,0.0,0.0,0.0,0.0,-3.534
89,50.0,43.8,2.0,4.1,0.1,0.0,0,0.0,0.0,0.0,0.0,-3.3810000000000002
90,50.0,43.5,2.0,4.5,0.0,0.0,0,0.0,0.0,0.0,0.0,-4.493
91,50.0,44.5,2.1,3.4000000000000004,0.0,0.0,0,0.0,0.0,0.0,0.0,-4.308
92,50.0,43.9,2.1,4.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-3.017
93,50.0,44.0,2.3,3.6000000000000005,0.1,0.0,0,0.0,0.0,0.0,0.0,-3.613
94,50.0,44.0,2.3,3.7000000000000006,0.0,0.0,0,0.0,0.0,0.0,0.0,-3.2960000000000003
95,50.0,43.8,2.6,3.6000000000000005,0.0,0.0,0,0.0,0.0,0.0,0.0,-4.163
96,50.0,28.1,2.9,0.0,19.0,0.0,0,0.0,0.0,0.0,0.0,-11.74
97,50.0,26.6,3.7000000000000006,0.0,19.7,0.0,0,0.0,0.0,0.0,0.0,-14.66
98,50.0,26.400000000000002,0.5,0.0,23.1,0.0,0,0.0,0.0,0.0,0.0,-16.32
99,50.0,25.0,0.0,2.1,22.9,0.0,0,0.0,0.0,0.0,0.0,-11.26
100,48.0,50.0,0.0,0.0,0.0,0.0,0,0.0,2.0,0.0,0.0,-9.862
101,25.5,29.4,19.6,0.0,0.0,0.0,0,0.0,0.0,0.0,25.5,-10.21
102,30.599999999999998,29.4,19.6,0.0,0.0,0.0,0,0.0,0.0,0.0,20.4,-9.698
103,35.7,29.4,19.6,0.0,0.0,0.0,0,0.0,0.0,0.0,15.299999999999999,-8.787
104,40.8,29.4,19.6,0.0,0.0,0.0,0,0.0,0.0,0.0,10.2,-5.147
105,45.9,29.4,19.6,0.0,0.0,0.0,0,0.0,0.0,0.0,5.1,-10.07
106,51.0,29.4,19.6,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,-16.63
107,30.599999999999998,24.5,24.5,0.0,0.0,0.0,0,0.0,0.0,0.0,20.4,-5.206
108,30.599999999999998,34.3,14.7,0.0,0.0,0.0,0,0.0,0.0,0.0,20.4,-16.62
109,30.599999999999998,39.2,9.8,0.0,0.0,0.0,0,0.0,0.0,0.0,20.4,-18.17
110,30.599999999999998,44.1,4.9,0.0,0.0,0.0,0,0.0,0.0,0.0,20.4,-24.79
111,30.599999999999998,49.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,20.4,-30.73
